subject	item	sentcond	questcond	dependnum	starttime	endtime	subresp	correctresp	accuracy
1	1	 1	 1	1	1918746	1928945	3	3	1
1	2	 1	 1	1	1929606	1942103	1	1	1
1	3	 1	 1	1	1942766	1947727	1	1	1
1	4	 1	 1	1	1948390	1952185	4	4	1
1	5	 1	 1	1	1952847	1955944	2	2	1
1	6	 2	 1	1	2143027	2215590	1	1	1
1	7	 2	 1	1	2216253	2219989	1	1	1
1	8	 2	 1	1	2220652	2233443	2	2	1
1	9	 2	 1	1	2234106	2247717	4	4	1
1	10	 2	 1	1	2248379	2251306	1	1	1
2	1	 2	 1	1	2618117	2624597	3	3	1
2	2	 2	 1	1	2625260	2629165	1	1	1
2	3	 2	 1	1	2629827	2634014	1	1	1
2	4	 2	 1	1	2634676	2653275	4	4	1
2	5	 2	 1	1	2653937	2675177	2	2	1
2	6	 1	 1	1	2778386	2783324	1	1	1
2	7	 1	 1	1	2783987	2788202	1	1	1
2	8	 1	 1	1	2788864	2796099	2	2	1
2	9	 1	 1	1	2796761	2806425	4	4	1
2	10	 1	 1	1	2807088	2812712	1	1	1
3	6	 2	 1	1	3093869	3102187	1	1	1
3	7	 2	 1	1	3102850	3106205	1	1	1
3	8	 2	 1	1	3106867	3110423	2	2	1
3	9	 2	 1	1	3111086	3114182	4	4	1
3	10	 2	 1	1	3114844	3119010	1	1	1
3	1	 1	 1	1	3221558	3224898	3	3	1
3	2	 1	 1	1	3225560	3228527	1	1	1
3	3	 1	 1	1	3229189	3234314	1	1	1
3	4	 1	 1	1	3234976	3238273	4	4	1
3	5	 1	 1	1	3238935	3248359	2	2	1
4	6	 1	 1	1	3444989	3461144	2	1	0
4	7	 1	 1	1	3461805	3464992	2	1	0
4	8	 1	 1	1	3465656	3468821	1	2	0
4	9	 1	 1	1	3469483	3472429	1	4	0
4	10	 1	 1	1	3473092	3477197	2	1	0
4	1	 2	 1	1	3550396	3554477	1	3	0
4	2	 2	 1	1	3555140	3556945	2	1	0
4	3	 2	 1	1	3557607	3560634	2	1	0
4	4	 2	 1	1	3561296	3563933	1	4	0
4	5	 2	 1	1	3564595	3566792	1	2	0
